"Data/CV Fold","knn Method 1","knn Method 2"
"Test",0.107204335352247,0.18642920597318
"Average Folds",0.0997736920109094,0.184874360969272
"1",0.0998185117967332,0.179930795847751
"2",0.0385208012326656,0.22027972027972
"3",0.0918803418803419,0.142857142857143
"4",0.161943319838057,0.142857142857143
"5",0.119469026548673,0.171681415929204
"6",0.107317073170732,0.187599364069952
"7",0.225263157894737,0.133333333333333
"8",0.0510805500982318,0.237424547283702
"9",0.0157232704402516,0.184873949579832
"10",0.0867208672086721,0.247906197654941
