"","Data/CV Fold","Logistic (Cutoff .5) Method 1","Logistic (Cutoff .5) Method 2","LDA Method 1","LDA Method 2","QDA Method 1","QDA Method 2","SVM Method 1","SVM Method 2","knn.Method.1","knn.Method.2"
"1","Test",0.909690787376474,0.893932343443744,0.912782913611731,0.801852870256779,0.899553713739241,0.831887981725115,0.928116034427797,0.888009927097875,0.892795664647753,0.81357079402682
"2","Average Folds",0.917865091655677,0.883403586751702,0.921172067876028,0.876202208632638,0.908688751564749,0.897761783560289,0.933309051187809,0.873331835066165,0.900226307989091,0.815125639030728
"3","1",0.949907533971215,0.9127365356623,0.95545549569832,0.912809315866084,0.923052183002332,0.930058224163028,0.993377483443709,0.925465838509317,0.900181488203267,0.820069204152249
"4","2",0.95166061583972,0.899597238204833,0.95327416969208,0.892261219792865,0.965913674868899,0.912399309551208,0.94413407821229,0.878787878787879,0.961479198767334,0.77972027972028
"5","3",0.909979423868313,0.957766771724448,0.919444444444444,0.957856821251688,0.877777777777778,0.961008554705088,0.964788732394366,0.964539007092199,0.908119658119658,0.857142857142857
"6","4",0.919388782139263,0.938367252543941,0.925427761002837,0.939176688251619,0.851221520724677,0.964731729879741,0.958620689655172,0.932835820895522,0.838056680161943,0.857142857142857
"7","5",0.92475559760328,0.889992119779354,0.931441185745821,0.881008668242711,0.920845159255755,0.896375098502758,0.934426229508197,0.892215568862275,0.880530973451327,0.828318584070796
"8","6",0.88106557995623,0.87173776880785,0.882197569994717,0.855035145104043,0.919477775262244,0.904168696499408,0.874285714285714,0.826086956521739,0.892682926829268,0.812400635930048
"9","7",0.779819338944775,0.942949795820322,0.779819338944775,0.94463127552246,0.750564565797577,0.96036512130675,0.797297297297297,0.917293233082707,0.774736842105263,0.866666666666667
"10","8",0.967747731560507,0.702832709780866,0.971520977450364,0.681631925886335,0.964423681609918,0.74069125244967,0.986842105263158,0.710144927536232,0.948919449901768,0.762575452716298
"11","9",0.997462973121229,0.822239936229574,0.997325836533187,0.808090872857712,0.995817334064728,0.827819848545237,0.994318181818182,0.794520547945206,0.984276729559748,0.815126050420168
"12","10",0.896863339552239,0.895815738963532,0.895813899253731,0.889520153550864,0.917793843283582,0.88,0.885,0.891428571428571,0.913279132791328,0.752093802345059
